Company Name,Job Title,URL
Accenture España,¿Eres recién titulado? Únete a Accenture Technology Girona,https://es.linkedin.com/jobs/view/%C2%BFeres-reci%C3%A9n-titulado%3F-%C3%BAnete-a-accenture-technology-girona-at-accenture-espa%C3%B1a-2987479571?refId=AGq4VH6QVrh9vBQ1mhPyRQ%3D%3D&trackingId=gKMRuStl%2BinRe%2FRYaLkUbw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
GMV,Junior software engineer,https://es.linkedin.com/jobs/view/junior-software-engineer-at-gmv-3155686546?refId=AGq4VH6QVrh9vBQ1mhPyRQ%3D%3D&trackingId=%2BeN5gXhD%2BR5etAeRv0YG3w%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Dinbeat,Software Engineer,https://es.linkedin.com/jobs/view/software-engineer-at-dinbeaters-3212138286?refId=AGq4VH6QVrh9vBQ1mhPyRQ%3D%3D&trackingId=R87hfsCYiNZc%2BniZGJ5P1g%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Grupo Norconsulting,Junior Fullstack Developer,https://es.linkedin.com/jobs/view/junior-fullstack-developer-at-grupo-norconsulting-3202153124?refId=AGq4VH6QVrh9vBQ1mhPyRQ%3D%3D&trackingId=cmcbmhgu4Afcz8NTNLHjBA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
YouGov,"Mid Software Engineer, Python (REMOTE in the EU)",https://es.linkedin.com/jobs/view/mid-software-engineer-python-remote-in-the-eu-at-yougov-3234267443?refId=AGq4VH6QVrh9vBQ1mhPyRQ%3D%3D&trackingId=MRzkKW1uXBEk3r3rsug9zg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
Nuvolar Works,Front-End Developer Internship (Barcelona),https://es.linkedin.com/jobs/view/front-end-developer-internship-barcelona-at-nuvolar-works-3195597407?refId=AGq4VH6QVrh9vBQ1mhPyRQ%3D%3D&trackingId=QiUieZGml%2Bjb1byu6KgK0Q%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Stream Hatchet,Front-End Developer,https://es.linkedin.com/jobs/view/front-end-developer-at-stream-hatchet-3225312387?refId=AGq4VH6QVrh9vBQ1mhPyRQ%3D%3D&trackingId=fIHxDorS7aqpl2fZB7iDqw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
EMPRESAS IMAN,Programador/a informático,https://es.linkedin.com/jobs/view/programador-a-inform%C3%A1tico-at-empresas-iman-3191742854?refId=AGq4VH6QVrh9vBQ1mhPyRQ%3D%3D&trackingId=PO4iegLjY5zy39LiwsEvCg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Schneider Electric,Frontend Web Developer,https://es.linkedin.com/jobs/view/frontend-web-developer-at-schneider-electric-3172705140?refId=AGq4VH6QVrh9vBQ1mhPyRQ%3D%3D&trackingId=gKDBaFYM4TxudqVrzMhrtg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
GRUPO NS,Desarrollador Nodejs Remoto,https://es.linkedin.com/jobs/view/desarrollador-nodejs-remoto-at-grupo-ns-3216229035?refId=AGq4VH6QVrh9vBQ1mhPyRQ%3D%3D&trackingId=DHfcjd6cIGjeGRfk2uDevA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
The Hist,Software Engineer,https://es.linkedin.com/jobs/view/software-engineer-at-the-hist-3205810378?refId=AGq4VH6QVrh9vBQ1mhPyRQ%3D%3D&trackingId=tFldMl82TPaqj3FpaVAckQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Easy-Detect,Software Engineer,https://es.linkedin.com/jobs/view/software-engineer-at-easy-detect-3233779778?refId=AGq4VH6QVrh9vBQ1mhPyRQ%3D%3D&trackingId=l5RKzJ0Yf%2B0SN4j%2BNZZPpQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Capgemini,FRONTEND DEVELOPER (H/M),https://es.linkedin.com/jobs/view/frontend-developer-h-m-at-capgemini-3197686153?refId=AGq4VH6QVrh9vBQ1mhPyRQ%3D%3D&trackingId=QTtfkvLiO6aU4oj7WpdXaA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Eurecat - Technology Centre of Catalonia,PROGRAMADOR/A SISTEMAS INTERACTIVOS,https://es.linkedin.com/jobs/view/programador-a-sistemas-interactivos-at-eurecat-centro-tecnol%C3%B3gico-de-catalunya-3213230849?refId=AGq4VH6QVrh9vBQ1mhPyRQ%3D%3D&trackingId=Egj%2FqfX3WnD4ssQbCjhxkA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
